a433-microservices-item-db-1  | 2023-11-11T06:01:01.691+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=34653a2d6d98
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2023-11-11T06:01:01.692+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2023-11-11T06:01:01.693+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-11-11T06:01:01.695+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1  | 2023-11-11T06:01:01.695+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1  | 2023-11-11T06:01:01.695+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1  | 2023-11-11T06:01:01.696+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=4426M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2023-11-11T06:01:02.701+0000 I STORAGE  [initandlisten] WiredTiger message [1699682462:701080][1:0x7ff4130c4a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1  | 2023-11-11T06:01:02.840+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-11-11T06:01:02.840+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1  | 2023-11-11T06:01:02.840+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1  | 2023-11-11T06:01:02.840+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-11-11T06:01:02.841+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-11-11T06:01:02.841+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1  | 2023-11-11T06:01:02.841+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1  | 2023-11-11T06:01:02.841+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-11-11T06:01:02.848+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 8f3b6657-c273-45d7-bb8f-030af8da7d52
a433-microservices-item-db-1  | 2023-11-11T06:01:02.919+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1  | 2023-11-11T06:01:02.922+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 098eb188-b23e-4f69-9578-71222cf4c58f
a433-microservices-item-db-1  | 2023-11-11T06:01:02.976+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1  | 2023-11-11T06:01:02.977+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1  | 2023-11-11T06:01:02.977+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1  | 2023-11-11T06:01:02.977+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1  | 2023-11-11T06:01:02.977+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 688ada5d-9d6c-4883-b104-50a6cc2b476a
a433-microservices-item-db-1  | 2023-11-11T06:01:03.062+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1  | 2023-11-11T06:01:03.062+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1  | 2023-11-11T06:01:03.066+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
